Date,Open,Source,High,Low,Adj Close,Volume
2019-05-20,8196.923828,bitcoin,8200.967773,7678.781738,7978.309082,23843404340
2019-05-21,7977.969238,bitcoin,8062.167969,7843.339844,7963.327637,25127245056
2019-05-22,7956.291992,bitcoin,7997.612305,7615.987305,7680.066406,24719473175
2019-05-23,7677.269043,bitcoin,7943.791504,7533.196777,7881.84668,24457107820
2019-05-24,7881.695313,bitcoin,8140.719727,7824.44873,7987.371582,25919126991
2019-05-25,7991.885254,bitcoin,8117.925781,7965.976074,8052.543945,22256813107
2019-05-26,8055.206055,bitcoin,8687.520508,7924.67041,8673.21582,26677970091
2019-05-27,8674.072266,bitcoin,8907.174805,8668.705078,8805.77832,27949839564
2019-05-28,8802.757813,bitcoin,8807.016602,8634.72168,8719.961914,24226919267
2019-05-29,8718.591797,bitcoin,8755.852539,8482.728516,8659.487305,23473479966
2019-05-30,8661.760742,bitcoin,9008.314453,8221.273438,8319.472656,29246528551
2019-05-31,8320.286133,bitcoin,8586.65918,8172.550781,8574.501953,25365190957
2019-06-01,8573.839844,bitcoin,8625.600586,8481.578125,8564.016602,22488303544
2019-06-02,8565.473633,bitcoin,8809.303711,8561.235352,8742.958008,20266216022
2019-06-03,8741.74707,bitcoin,8743.5,8204.185547,8208.995117,22004511436
2019-06-04,8210.985352,bitcoin,8210.985352,7564.48877,7707.770996,24609731549
2019-06-05,7704.343262,bitcoin,7901.849121,7668.668457,7824.231445,21760923463
2019-06-06,7819.633301,bitcoin,7937.34082,7571.471191,7822.023438,19474611077
2019-06-07,7826.901367,bitcoin,8126.15332,7788.373535,8043.951172,19141423231
2019-06-08,8036.774902,bitcoin,8076.891113,7837.61084,7954.12793,16522722810
2019-06-09,7949.674805,bitcoin,7975.974121,7583.219727,7688.077148,16610726547
2019-06-10,7692.284668,bitcoin,8031.909668,7586.730957,8000.32959,18689275117
2019-06-11,8004.243652,bitcoin,8026.394043,7772.803711,7927.714355,17107279932
2019-06-12,7925.434082,bitcoin,8196.648438,7862.359863,8145.857422,19034432883
2019-06-13,8145.54541,bitcoin,8311.567383,8087.061035,8230.923828,18669407147
2019-06-14,8230.898438,bitcoin,8710.636719,8183.393066,8693.833008,19831162906
2019-06-15,8689.746094,bitcoin,8859.12793,8618.395508,8838.375,18371033226
2019-06-16,8841.44043,bitcoin,9335.867188,8814.556641,8994.488281,23348550311
2019-06-17,8988.923828,bitcoin,9416.407227,8988.923828,9320.352539,15562951919
2019-06-18,9335.466797,bitcoin,9348.374023,9004.901367,9081.762695,15848210536
2019-06-19,9078.727539,bitcoin,9299.621094,9070.395508,9273.521484,15546809946
2019-06-20,9273.060547,bitcoin,9594.419922,9232.484375,9527.160156,17846823784
2019-06-21,9525.074219,bitcoin,10144.556641,9525.074219,10144.556641,20624008643
2019-06-22,10175.923828,bitcoin,11157.345703,10107.035156,10701.691406,29995204861
2019-06-23,10696.691406,bitcoin,11246.144531,10556.095703,10855.371094,20998326502
2019-06-24,10853.744141,bitcoin,11065.896484,10610.427734,11011.102539,19271652365
2019-06-25,11007.202148,bitcoin,11790.916992,11007.202148,11790.916992,24879684533
2019-06-26,11778.581055,bitcoin,13796.489258,11755.597656,13016.231445,45105733173
2019-06-27,13017.125,bitcoin,13311.144531,10491.852539,11182.806641,39977475223
2019-06-28,11162.167969,bitcoin,12445.174805,10914.495117,12407.332031,35087757766
2019-06-29,12400.763672,bitcoin,12400.910156,11508.378906,11959.371094,29923961128
2019-06-30,11931.991211,bitcoin,12178.383789,10799.008789,10817.155273,27256473494
2019-07-01,10796.930664,bitcoin,11206.439453,10089.314453,10583.134766,29378589324
2019-07-02,10588.683594,bitcoin,10912.188477,9737.884766,10801.677734,31015895223
2019-07-03,10818.15625,bitcoin,11968.078125,10818.15625,11961.269531,30796494294
2019-07-04,11972.71875,bitcoin,12006.075195,11166.569336,11215.4375,25920294033
2019-07-05,11203.102539,bitcoin,11395.661133,10874.964844,10978.459961,23838480210
2019-07-06,10982.543945,bitcoin,11620.964844,10982.543945,11208.550781,21092024306
2019-07-07,11217.616211,bitcoin,11541.620117,11148.804688,11450.84668,19369044277
2019-07-08,11446.59668,bitcoin,12345.833008,11393.374023,12285.958008,23482551458
2019-07-09,12284.326172,bitcoin,12779.131836,12233.261719,12573.8125,28167921523
2019-07-10,12571.537109,bitcoin,13129.529297,11710.978516,12156.512695,33627574244
2019-07-11,12139.713867,bitcoin,12144.623047,11158.922852,11358.662109,28595327690
2019-07-12,11354.299805,bitcoin,11905.487305,11179.144531,11815.986328,23534692797
2019-07-13,11813.126953,bitcoin,11841.957031,10908.479492,11392.378906,21042616384
2019-07-14,11381.020508,bitcoin,11451.204102,10234.576172,10256.058594,22486000001
2019-07-15,10257.838867,bitcoin,11052.766602,9992.006836,10895.089844,25384047207
2019-07-16,10896.65332,bitcoin,10996.632813,9448.106445,9477.641602,24151199070
2019-07-17,9471.213867,bitcoin,9963.134766,9163.134766,9693.802734,24569921549
2019-07-18,9698.50293,bitcoin,10736.842773,9376.798828,10666.482422,25187024648
2019-07-19,10653.956055,bitcoin,10716.980469,10229.628906,10530.732422,20727426310
2019-07-20,10525.819336,bitcoin,11048.662109,10451.276367,10767.139648,20206615155
2019-07-21,10777.529297,bitcoin,10841.887695,10389.599609,10599.105469,17130580467
2019-07-22,10596.948242,bitcoin,10651.791016,10154.921875,10343.106445,16334414913
2019-07-23,10346.748047,bitcoin,10346.748047,9883.594727,9900.767578,17851916995
2019-07-24,9887.730469,bitcoin,9908.796875,9614.306641,9811.925781,17398734322
2019-07-25,9809.09668,bitcoin,10154.253906,9773.957031,9911.841797,15821952090
2019-07-26,9913.126953,bitcoin,9916.517578,9717.982422,9870.303711,14495714483
2019-07-27,9871.165039,bitcoin,10167.320313,9411.521484,9477.677734,16817809536
2019-07-28,9491.626953,bitcoin,9575.544922,9252.296875,9552.860352,13738687093
2019-07-29,9548.178711,bitcoin,9681.648438,9472.948242,9519.145508,13791445323
2019-07-30,9522.329102,bitcoin,9701.759766,9437.335938,9607.423828,13829811132
2019-07-31,9604.050781,bitcoin,10085.62793,9598.097656,10085.62793,16631520648
2019-08-01,10077.442383,bitcoin,10446.919922,9922.019531,10399.668945,17165337858
2019-08-02,10402.042969,bitcoin,10657.953125,10371.013672,10518.174805,17489094082
2019-08-03,10519.27832,bitcoin,10946.78125,10503.504883,10821.726563,15352685061
